,code,elevation_m,latitude,longitude
0,301_CA_SNTL,1886.7120361328125,41.2358283996582,-120.79192352294922
1,356_CA_SNTL,2458.821533203125,38.608001708984375,-119.92436981201172
2,1051_CA_SNTL,2477.71923828125,38.71942901611328,-119.89420318603516
3,1067_CA_SNTL,2548.1279296875,38.69269943237305,-120.002197265625
4,391_CA_SNTL,2142.743896484375,41.58232879638672,-120.30249786376953
5,977_CA_SNTL,1575.8160400390625,41.89318084716797,-120.75202178955078
6,428_CA_SNTL,2101.291259765625,39.32564926147461,-120.36807250976562
7,446_CA_SNTL,2243.327880859375,41.991268157958984,-120.18032836914062
8,462_CA_SNTL,2639.872802734375,38.54970169067383,-119.80467987060547
9,463_CA_SNTL,2332.634521484375,38.8489990234375,-120.07949829101562
10,473_CA_SNTL,1902.5616455078125,38.93402862548828,-120.05449676513672
11,1049_CA_SNTL,2443.58154296875,38.68244934082031,-119.95970153808594
12,1277_CA_SNTL,2196.998291015625,40.68798828125,-120.60804748535156
13,508_CA_SNTL,2359.76171875,38.851898193359375,-119.9374008178711
14,518_CA_SNTL,2601.1630859375,38.92430877685547,-119.91641235351562
15,1050_CA_SNTL,2608.173583984375,38.83652114868164,-119.88732147216797
16,539_CA_SNTL,2127.50390625,39.45269012451172,-120.29367065429688
17,540_CA_SNTL,1961.6927490234375,39.49000930786133,-120.28225708007812
18,541_CA_SNTL,2541.42236328125,39.427520751953125,-120.31342315673828
19,574_CA_SNTL,2927.29931640625,38.27593994140625,-119.61280822753906
20,575_CA_SNTL,2193.950439453125,38.30366897583008,-119.55110931396484
21,587_CA_SNTL,2819.09521484375,38.43745040893555,-119.36572265625
22,633_CA_SNTL,2531.668701171875,38.66830062866211,-119.60870361328125
23,697_CA_SNTL,2357.932861328125,38.505760192871094,-119.6262435913086
24,724_CA_SNTL,2322.271240234375,38.999271392822266,-120.13139343261719
25,771_CA_SNTL,2673.095947265625,38.310211181640625,-119.60030364990234
26,778_CA_SNTL,1848.00244140625,38.6662712097168,-119.81741333007812
27,784_CA_SNTL,2442.3623046875,39.18986129760742,-120.26576232910156
28,1258_CA_SNTL,1731.2640380859375,41.98609161376953,-120.71573638916016
29,1052_CA_SNTL,2838.602294921875,38.39746856689453,-119.53521728515625
30,809_CA_SNTL,2071.7255859375,39.1716194152832,-120.15361785888672
31,834_CA_SNTL,1983.9432373046875,39.30086898803711,-120.18406677246094
32,846_CA_SNTL,2878.8359375,38.07297897338867,-119.23432922363281
33,848_CA_SNTL,2055.8759765625,39.13544845581055,-120.2186508178711
34,246_CA_SNTL,2453.639892578125,38.616668701171875,-119.86666870117188
